id,product_id,carrier_resin,material_form,appearance_colour,hardness,moisture_content,antioxidant_content,ash_content,specific_gravity,bulk_density,caco3_content,tio2_percentage,mfr,weather_fastness,light_fastness,colour_migration,dispersion,melting_temperature,heat_stability,toxicity,spec_compliance,higher_olefin_constituent,cbc,carbon_type,volatile_matter_content,toluene_extract,let_down_ratio,ral_pantone_ci
336,15011,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,19002,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,15012,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,40018,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,60032,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,60039,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,64003,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,50007,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,40020,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,85015,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,60040,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,UD10034,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,91008,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,16744,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,16117,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,85012,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,40021,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,44002,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,40023,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,30028,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,60041,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,UD10036,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,50008,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,60042,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,54001,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,UD10037,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,20019,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,20023,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,21001,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,15013,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,51008,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,51008,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,16112,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,61601,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,61633,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,20018,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,20701,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,41704,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,91709,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,21002,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,20018,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,60043,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,21003,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,UD10031,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,UD10034,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,51003,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,31005,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,21516,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,ADV0202,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,41496,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,40024,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,61638,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,91005,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,91011,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,50009,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,60044,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,80013,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,50010,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,15036,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,82001,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,40026,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,60045,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,30036,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,20024,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,70009,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,50013,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,90112,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,90012,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,86226,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,80014,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,51503,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,51503,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,15016,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,51503,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,40030,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,00120,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,20151,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,87002,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,87001,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,71286,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,20026,,,,,,,,,,,,,,,,,,,,,,,,,,,
